logf(-1) = nan
  errno: 33
  FE_INVALID: YES
  FE_DIVBYZERO: NO

logf(0) = -inf
  errno: 34
  FE_INVALID: NO
  FE_DIVBYZERO: YES

logf(inf) = inf
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(nan) = nan
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(1) = 0
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

Interval [0.000000000, 0.000000000] | Max ULP Error: 0.814627290
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.559714317
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.736125886
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.061631560
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.806718588
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.559634387
Interval [0.000000000, 0.000000001] | Max ULP Error: 0.744816542
Interval [0.000000001, 0.000000002] | Max ULP Error: 0.991118789
Interval [0.000000002, 0.000000004] | Max ULP Error: 0.806638598
Interval [0.000000004, 0.000000007] | Max ULP Error: 0.551725626
Interval [0.000000007, 0.000000015] | Max ULP Error: 0.744114578
Interval [0.000000015, 0.000000030] | Max ULP Error: 1.053642869
Interval [0.000000030, 0.000000060] | Max ULP Error: 0.798729897
Interval [0.000000060, 0.000000119] | Max ULP Error: 0.598207533
Interval [0.000000119, 0.000000238] | Max ULP Error: 1.009341240
Interval [0.000000238, 0.000000477] | Max ULP Error: 0.601881683
Interval [0.000000477, 0.000000954] | Max ULP Error: 1.103801966
Interval [0.000000954, 0.000001907] | Max ULP Error: 0.601804733
Interval [0.000001907, 0.000003815] | Max ULP Error: 1.017329931
Interval [0.000003815, 0.000007629] | Max ULP Error: 0.593892992
Interval [0.000007629, 0.000015259] | Max ULP Error: 1.095813274
Interval [0.000015259, 0.000030518] | Max ULP Error: 0.593816042
Interval [0.000030518, 0.000061035] | Max ULP Error: 1.025318623
Interval [0.000061035, 0.000122070] | Max ULP Error: 0.585904300
Interval [0.000122070, 0.000244141] | Max ULP Error: 1.087824583
Interval [0.000244141, 0.000488281] | Max ULP Error: 0.664335370
Interval [0.000488281, 0.000976562] | Max ULP Error: 0.651932359
Interval [0.000976562, 0.001953125] | Max ULP Error: 0.656346679
Interval [0.001953125, 0.003906250] | Max ULP Error: 0.643943667
Interval [0.003906250, 0.007812500] | Max ULP Error: 0.648357987
Interval [0.007812500, 0.015625000] | Max ULP Error: 0.635954976
Interval [0.015625000, 0.031250000] | Max ULP Error: 0.783037543
Interval [0.031250000, 0.062500000] | Max ULP Error: 0.775048852
Interval [0.062500000, 0.125000000] | Max ULP Error: 0.767060161
Interval [0.125000000, 0.250000000] | Max ULP Error: 1.043819547
Interval [0.250000000, 0.500000000] | Max ULP Error: 1.055684328
Interval [0.500000000, 1.000000000] | Max ULP Error: 3.744852304
Interval [1.000000000, 2.000000000] | Max ULP Error: 0.996047020
Interval [2.000000000, 4.000000000] | Max ULP Error: 0.990350485
Interval [4.000000000, 8.000000000] | Max ULP Error: 1.006327868
Interval [8.000000000, 16.000000000] | Max ULP Error: 0.761049032
